volunteer_id,status,city,state
24809,indisponivel,JALES,SP
24805,indisponivel,CAPITAO ENEAS,MG
24818,indisponivel,SALVADOR,BA
24794,indisponivel,MACAE,RJ
24810,indisponivel,MAIRINQUE,SP
24839,indisponivel,RIO DE JANEIRO,RJ
24850,indisponivel,LAJEADO,RS
24851,indisponivel,SAO PAULO,SP
24835,indisponivel,COSMOPOLIS,SP
24857,indisponivel,SOROCABA,SP
24843,indisponivel,CACHOEIRA DO SUL,RS
24877,indisponivel,BELO HORIZONTE,MG
24852,indisponivel,SAO THOME DAS LETRAS,MG
24906,indisponivel,SAO GABRIEL,RS
24896,indisponivel,SAO PAULO,SP
24889,indisponivel,SERRA DO RAMALHO,BA
24927,indisponivel,AMERICANA,SP
24912,indisponivel,SAO SEBASTIAO,SP
24917,indisponivel,SANTOS,SP
24934,disponivel,FEIRA DE SANTANA,BA
24955,indisponivel,LONDRINA,PR
27042,indisponivel,SAO PAULO,SP
24930,indisponivel,BRASILIA,DF
24935,indisponivel,DIVINOPOLIS,MG
24960,indisponivel,SALVADOR,BA
24952,indisponivel,SAO GONCALO DOS CAMPOS,BA
24958,indisponivel,NITEROI,RJ
24989,indisponivel,CAMPINAS,SP
24736,indisponivel,SAO PAULO,SP
24959,indisponivel,CAMPO GRANDE,MS
24979,indisponivel,DOURADOS,MS
24987,indisponivel,CURITIBA,PR
24999,indisponivel,MANAUS,AM
25015,indisponivel,RIO DE JANEIRO,RJ
19382,indisponivel,BAURU,SP
24998,indisponivel,FEIRA DE SANTANA,BA
25020,indisponivel,MANAUS,AM
25030,indisponivel,SANTO ANDRE,SP
25028,indisponivel,RIO DE JANEIRO,RJ
25033,indisponivel,SAO PAULO,SP
25031,indisponivel,SAO JOAO DEL REI,MG
20352,indisponivel,SAO PEDRO DOS FERROS,MG
25044,indisponivel,TERESINA,PI
25056,indisponivel,PORTO ALEGRE,RS
25072,indisponivel,SANTANA DE PARNAIBA,SP
25077,indisponivel,UBA,MG
25059,indisponivel,SAO PAULO,SP
25034,indisponivel,ATIBAIA,SP
25080,indisponivel,SAO BERNARDO DO CAMPO,SP
25062,indisponivel,GOIANIA,GO
25085,indisponivel,CURITIBA,PR
25091,indisponivel,SAO PAULO,SP
25092,indisponivel,SAO JOSE DOS CAMPOS,SP
25104,indisponivel,FORTALEZA,CE
25073,indisponivel,SAO PAULO,SP
25084,indisponivel,CURITIBA,PR
25099,indisponivel,SOROCABA,SP
25106,indisponivel,PASSOS,MG
25120,indisponivel,CAJAMAR,SP
25122,indisponivel,RIO DE JANEIRO,RJ
25135,indisponivel,VALINHOS,SP
25136,indisponivel,JOAO PESSOA,PB
25111,indisponivel,NOVO HAMBURGO,RS
25159,indisponivel,BELO HORIZONTE,MG
25156,indisponivel,FORTALEZA,CE
25157,indisponivel,JOAO MONLEVADE,MG
25168,indisponivel,SANTOS,SP
25153,indisponivel,SAO PAULO,SP
25162,indisponivel,PORTO ALEGRE,RS
25142,indisponivel,SAPIRANGA,RS
25144,indisponivel,ITAJAI,SC
16397,indisponivel,SAO JOSE DOS CAMPOS,SP
25152,indisponivel,ITAMARAJU,BA
25158,indisponivel,SANTA INES,MA
25179,indisponivel,CAMPINAS,SP
25185,indisponivel,GOIANIA,GO
25173,indisponivel,TRES CORACOES,MG
25191,indisponivel,PORTO ALEGRE,RS
28726,indisponivel,BALNEARIO CAMBORIU,SC
25204,indisponivel,RIO DE JANEIRO,RJ
25216,indisponivel,PORTO ALEGRE,RS
25201,indisponivel,FORTALEZA,CE
15646,indisponivel,FORTALEZA,CE
25242,indisponivel,CURITIBA,PR
25249,indisponivel,BRAGANCA PAULISTA,SP
25239,indisponivel,SAO PAULO,SP
25224,indisponivel,GARANHUNS,PE
25234,indisponivel,SAO ROQUE,SP
25283,indisponivel,CAMPESTRE,MG
25475,indisponivel,SALVADOR,BA
25257,indisponivel,SAO PAULO,SP
25282,indisponivel,ARACAJU,SE
25294,indisponivel,RIO DE JANEIRO,RJ
25307,indisponivel,RIO DE JANEIRO,RJ
25293,indisponivel,SAO PAULO,SP
25321,indisponivel,NOVA IGUACU,RJ
25347,indisponivel,PORTO SEGURO,BA
25350,indisponivel,SAO PAULO,SP
25352,indisponivel,BARUERI,SP
25344,indisponivel,RIO DE JANEIRO,RJ
25364,indisponivel,RIO DE JANEIRO,RJ
25358,indisponivel,RIO DE JANEIRO,RJ
25360,indisponivel,SAO PAULO,SP
25375,indisponivel,COLOMBO,PR
25376,indisponivel,SAO CARLOS,SP
25377,indisponivel,SAO PAULO,SP
25373,indisponivel,SAO PAULO,SP
25383,indisponivel,SAO PAULO,SP
25388,indisponivel,FRANCA,SP
25390,indisponivel,CANOAS,RS
25384,indisponivel,SAO PAULO,SP
25415,indisponivel,CAMPINAS,SP
25418,indisponivel,NOVA IGUACU,RJ
25403,indisponivel,CURITIBA,PR
25424,indisponivel,RIO DE JANEIRO,RJ
25425,indisponivel,RIO DE JANEIRO,RJ
25414,indisponivel,SALVADOR,BA
25428,indisponivel,BELO HORIZONTE,MG
28999,indisponivel,NITEROI,RJ
25437,indisponivel,RIBEIRAO PRETO,SP
25454,indisponivel,RIO DE JANEIRO,RJ
25430,indisponivel,SANTO ANDRE,SP
25458,indisponivel,BELO HORIZONTE,MG
25464,indisponivel,PETROPOLIS,RJ
25484,indisponivel,SAO PAULO,SP
25462,indisponivel,NITEROI,RJ
25489,indisponivel,SALVADOR,BA
25488,indisponivel,SAO PAULO,SP
25483,indisponivel,OURO BRANCO,MG
25502,indisponivel,SAO PAULO,SP
25503,indisponivel,SUZANO,SP
25512,indisponivel,GUARULHOS,SP
25509,indisponivel,SAO CAETANO DO SUL,SP
25510,indisponivel,PIRACICABA,SP
25476,indisponivel,NATAL,RN
25562,indisponivel,PORTO ALEGRE,RS
25572,indisponivel,SAO GONCALO,RJ
22595,indisponivel,SAO PAULO,SP
25557,indisponivel,CAMPINA VERDE,MG
23122,indisponivel,JUIZ DE FORA,MG
25602,indisponivel,CAMBORIU,SC
25595,indisponivel,FORTALEZA,CE
25589,indisponivel,SAO PAULO,SP
25610,indisponivel,MOGI DAS CRUZES,SP
25617,indisponivel,RIO DE JANEIRO,RJ
25615,indisponivel,CURITIBA,PR
25633,indisponivel,RIO DE JANEIRO,RJ
25611,indisponivel,NOVA IGUACU,RJ
24360,indisponivel,CARLOS BARBOSA,RS
26527,indisponivel,ITABUNA,BA
24685,indisponivel,RECIFE,PE
24747,indisponivel,CRICIUMA,SC
24797,indisponivel,DOURADOS,MS
24844,indisponivel,CAMPINAS,SP
24892,indisponivel,SAO PAULO,SP
24932,indisponivel,BRASILIA,DF
24991,indisponivel,OSASCO,SP
25029,indisponivel,ITAPECERICA DA SERRA,SP
25133,indisponivel,RIO DE JANEIRO,RJ
25172,indisponivel,SOROCABA,SP
25262,indisponivel,UBERLANDIA,MG
25255,indisponivel,GOIANIA,GO
25367,indisponivel,SAO JOSE DO RIO PRETO,SP
25750,indisponivel,SAO BERNARDO DO CAMPO,SP
22770,indisponivel,PRAIA GRANDE,SP
25465,indisponivel,BRASILIA,DF
22594,indisponivel,MARINGA,PR
24760,disponivel,SAO LUIS,MA
24763,indisponivel,NATAL,RN
25178,indisponivel,RIO DE JANEIRO,RJ
25394,indisponivel,BRASILIA,DF
25163,indisponivel,SERRA AZUL,SP
25628,indisponivel,CAMPINA GRANDE,PB
26077,indisponivel,SAO JOSE DOS CAMPOS,SP
23277,indisponivel,ITAPIRA,SP
25641,indisponivel,VILA VELHA,ES
25660,indisponivel,FORTALEZA,CE
25654,indisponivel,RIBEIRAO PRETO,SP
25657,indisponivel,RIO DE JANEIRO,RJ
25658,indisponivel,SARANDI,PR
25646,indisponivel,NITEROI,RJ
25609,indisponivel,PIRACICABA,SP
25652,indisponivel,SAO PAULO,SP
25690,indisponivel,SAO PAULO,SP
25680,indisponivel,RIO DO SUL,SC
25688,indisponivel,PIEDADE,SP
25667,indisponivel,FLORIANOPOLIS,SC
25677,indisponivel,JUIZ DE FORA,MG
25708,indisponivel,SOROCABA,SP
25701,indisponivel,ARARAS,SP
25726,indisponivel,SAO PAULO,SP
25730,indisponivel,BARUERI,SP
25731,indisponivel,SAO PAULO,SP
25720,indisponivel,FERRAZ DE VASCONCELOS,SP
25728,indisponivel,SAO GONCALO,RJ
25743,indisponivel,ARAPOTI,PR
25765,indisponivel,BRASILIA,DF
25767,indisponivel,BELO HORIZONTE,MG
25776,indisponivel,SAO JOSE DOS CAMPOS,SP
25777,indisponivel,PORTO ALEGRE,RS
25787,indisponivel,CAMPINAS,SP
25771,indisponivel,RIBEIRAO PIRES,SP
25798,indisponivel,NATAL,RN
25788,indisponivel,SOROCABA,SP
25827,indisponivel,CORONEL FABRICIANO,MG
25835,indisponivel,SANTA BRANCA,SP
25814,indisponivel,BELFORD ROXO,RJ
25818,indisponivel,RIO DE JANEIRO,RJ
25825,indisponivel,SAO PAULO,SP
25860,indisponivel,RIO DE JANEIRO,RJ
25865,indisponivel,SAO PAULO,SP
25851,indisponivel,RIO DE JANEIRO,RJ
25816,indisponivel,RECIFE,PE
25881,indisponivel,CABO FRIO,RJ
25833,indisponivel,SAO PAULO,SP
25862,indisponivel,BELO HORIZONTE,MG
24051,indisponivel,PORTO ALEGRE,RS
25857,indisponivel,SAO PAULO,SP
25885,indisponivel,CAMPINAS,SP
25874,indisponivel,RIO DE JANEIRO,RJ
22709,indisponivel,SAO CAETANO DO SUL,SP
25895,indisponivel,VITORIA,ES
25902,indisponivel,SAO PAULO,SP
25911,indisponivel,MONGAGUA,SP
25922,indisponivel,MANAUS,AM
25884,indisponivel,SAO PAULO,SP
25912,indisponivel,POCOS DE CALDAS,MG
25924,indisponivel,BELO HORIZONTE,MG
22949,disponivel,MANAUS,AM
25899,indisponivel,SAO PAULO,SP
25935,indisponivel,RIO DE JANEIRO,RJ
25928,indisponivel,GUARULHOS,SP
25953,indisponivel,RIO DE JANEIRO,RJ
25936,indisponivel,SAO PAULO,SP
25940,indisponivel,PIRAPETINGA,MG
25947,indisponivel,PINDAMONHANGABA,SP
25950,indisponivel,RIO DE JANEIRO,RJ
25960,indisponivel,NOVO HAMBURGO,RS
25959,indisponivel,SAO PAULO,SP
25970,indisponivel,VASSOURAS,RJ
25964,indisponivel,PARNAMIRIM,RN
26007,indisponivel,CAUCAIA,CE
26029,indisponivel,RIO DE JANEIRO,RJ
26017,indisponivel,SAO PAULO,SP
26014,indisponivel,CAMPO GRANDE,MS
24820,indisponivel,SAO PAULO,SP
26032,indisponivel,BRASILIA,DF
26037,indisponivel,POUSO ALEGRE,MG
26042,indisponivel,BELO HORIZONTE,MG
18615,indisponivel,RIO DE JANEIRO,RJ
26061,indisponivel,JUIZ DE FORA,MG
26065,indisponivel,SAO PAULO,SP
24963,indisponivel,MARINGA,PR
26082,indisponivel,OSASCO,SP
